Metodo de Carga;TiempoAnalisis;CondicionesMezcla;Porcentaje
Caliente;1;1;38,62
Caliente;1;1;37,2
Caliente;1;1;38,02
Caliente;1;2;37,67
Caliente;1;2;37,57
Caliente;1;2;37,85
Caliente;1;3;37,51
Caliente;1;3;37,74
Caliente;1;3;37,58
Caliente;1;4;37,52
Caliente;1;4;37,15
Caliente;1;4;37,51
Caliente;2;1;38,45
Caliente;2;1;38,64
Caliente;2;1;38,75
Caliente;2;2;37,81
Caliente;2;2;37,75
Caliente;2;2;37,91
Caliente;2;3;37,21
Caliente;2;3;37,42
Caliente;2;3;37,79
Caliente;2;4;37,6
Caliente;2;4;37,55
Caliente;2;4;37,91
Ambiente;1;1;39,82
Ambiente;1;1;39,15
Ambiente;1;1;39,78
Ambiente;1;2;39,53
Ambiente;1;2;39,76
Ambiente;1;2;39,9
Ambiente;1;3;39,34
Ambiente;1;3;39,6
Ambiente;1;3;39,62
Ambiente;1;4;40,09
Ambiente;1;4;39,63
Ambiente;1;4;39,67
Ambiente;2;1;39,82
Ambiente;2;1;40,26
Ambiente;2;1;39,72
Ambiente;2;2;39,56
Ambiente;2;2;39,25
Ambiente;2;2;39,04
Ambiente;2;3;39,74
Ambiente;2;3;39,49
Ambiente;2;3;39,45
Ambiente;2;4;39,36
Ambiente;2;4;39,38
Ambiente;2;4;39
